options;jvm;benchmark;pvalues;utests;effectsize
5Parallel;Graal;avrora;0.012274648109661175;153.0;0.2193877551020408
DisableExplicitGC;Graal;avrora;0.0030403818975488646;163.0;0.1683673469387755
ParallelCG;Graal;avrora;0.20638756667458347;126.0;0.35714285714285715
ParallelOldGC;Graal;avrora;0.10286022472686691;134.0;0.3163265306122449
1Concurent;Graal;avrora;0.02294133695494205;148.0;0.24489795918367346
5Concurent;Graal;avrora;0.16109322449890184;129.0;0.34183673469387754
G1;Graal;avrora;0.12374393858320548;132.0;0.32653061224489793
1Parallel;Graal;avrora;0.008242009906200234;156.0;0.20408163265306123
5Parallel;Graal;h2;0.10286022472686691;62.0;0.6836734693877551
DisableExplicitGC;Graal;h2;0.017966610807555503;46.0;0.7653061224489796
ParallelCG;Graal;h2;0.0004397580867796159;21.0;0.8928571428571429
ParallelOldGC;Graal;h2;0.0016472037920134623;29.0;0.8520408163265306
1Concurent;Graal;h2;0.9816711400706458;97.0;0.5051020408163265
5Concurent;Graal;h2;0.5052568397470112;113.0;0.42346938775510207
G1;Graal;h2;0.4081398991210319;79.5;0.5943877551020408
1Parallel;Graal;h2;9.252160889820918e-06;1.0;0.9948979591836735
5Parallel;Graal;lusearch;1.0;85.0;0.4970414201183432
DisableExplicitGC;Graal;lusearch;1.0;85.0;0.4970414201183432
ParallelCG;Graal;lusearch;0.8374719604535413;89.0;0.47337278106508873
ParallelOldGC;Graal;lusearch;0.8777310415017161;88.0;0.47928994082840237
1Concurent;Graal;lusearch;1.0;85.0;0.4970414201183432
5Concurent;Graal;lusearch;0.57268433313998;73.0;0.5680473372781065
G1;Graal;lusearch;0.2184091866192417;60.0;0.6449704142011834
1Parallel;Graal;lusearch;0.9183089345454835;82.0;0.514792899408284
5Parallel;Graal;lusearch-fix;0.3298783320498747;65.0;0.6153846153846154
DisableExplicitGC;Graal;lusearch-fix;0.44175632742491955;69.0;0.591715976331361
ParallelCG;Graal;lusearch-fix;0.6444123337698114;75.0;0.5562130177514792
ParallelOldGC;Graal;lusearch-fix;0.8777310415017161;81.0;0.5207100591715976
1Concurent;Graal;lusearch-fix;0.5049850750938458;71.0;0.5798816568047337
5Concurent;Graal;lusearch-fix;0.6080768794659228;95.0;0.4378698224852071
G1;Graal;lusearch-fix;0.7583164735262904;78.0;0.5384615384615384
1Parallel;Graal;lusearch-fix;0.57268433313998;73.0;0.5680473372781065
5Parallel;Graal;pmd;0.5383007490187228;97.0;0.4260355029585799
DisableExplicitGC;Graal;pmd;0.7583164735262904;91.0;0.46153846153846156
ParallelCG;Graal;pmd;0.8777310415017161;88.0;0.47928994082840237
