options;jvm;benchmark;pvalues;utests;effectsize
5Parallel;Graal;avrora;0.009430400901824202;155.0;0.20918367346938777
DisableExplicitGC;Graal;avrora;0.00543865843998807;159.0;0.18877551020408162
ParallelCG;Graal;avrora;0.44836913851604354;115.0;0.413265306122449
ParallelOldGC;Graal;avrora;0.2602848338696486;123.0;0.37244897959183676
1Concurent;Graal;avrora;0.032633216065285;145.0;0.2602040816326531
5Concurent;Graal;avrora;0.20638756667458347;126.0;0.35714285714285715
G1;Graal;avrora;0.1477983839028773;130.0;0.336734693877551
1Parallel;Graal;avrora;0.006259152776615369;158.0;0.19387755102040816
5Parallel;Graal;h2;0.1610359088891672;67.0;0.6581632653061225
DisableExplicitGC;Graal;h2;0.025849690449110427;49.0;0.75
ParallelCG;Graal;h2;0.5350644544782064;84.0;0.5714285714285714
ParallelOldGC;Graal;h2;0.9085487981709219;95.0;0.5153061224489796
1Concurent;Graal;h2;0.2146954735856219;70.5;0.6403061224489796
5Concurent;Graal;h2;0.9267711850747867;100.5;0.4872448979591837
G1;Graal;h2;0.2602848338696486;73.0;0.6275510204081632
1Parallel;Graal;h2;7.4678435688707325e-06;0.0;1.0
5Parallel;Graal;lusearch;0.9183089345454835;87.0;0.48520710059171596
DisableExplicitGC;Graal;lusearch;0.6444123337698114;94.0;0.4437869822485207
ParallelCG;Graal;lusearch;0.7583164735262904;91.0;0.46153846153846156
ParallelOldGC;Graal;lusearch;0.7004736643343814;92.5;0.4526627218934911
1Concurent;Graal;lusearch;0.6815664129467722;93.0;0.44970414201183434
5Concurent;Graal;lusearch;0.7388396631060581;77.5;0.5414201183431953
G1;Graal;lusearch;0.6080768794659228;74.0;0.5621301775147929
1Parallel;Graal;lusearch;0.9591007702858605;86.0;0.4911242603550296
5Parallel;Graal;lusearch-fix;0.5049850750938458;71.0;0.5798816568047337
DisableExplicitGC;Graal;lusearch-fix;0.259233298673899;62.0;0.6331360946745562
ParallelCG;Graal;lusearch-fix;0.3833202927297332;67.0;0.6035502958579881
ParallelOldGC;Graal;lusearch-fix;0.7583164735262904;78.0;0.5384615384615384
1Concurent;Graal;lusearch-fix;0.6080768794659228;74.0;0.5621301775147929
5Concurent;Graal;lusearch-fix;0.5383007490187228;97.0;0.4260355029585799
G1;Graal;lusearch-fix;0.9795331668838404;85.5;0.4940828402366864
1Parallel;Graal;lusearch-fix;0.14379921446296948;55.5;0.6715976331360947
5Parallel;Graal;pmd;0.7976340690559742;90.0;0.46745562130177515
DisableExplicitGC;Graal;pmd;0.6816178642730836;76.0;0.5502958579881657
ParallelCG;Graal;pmd;0.9591007702858605;83.0;0.5088757396449705
