options;jvm;benchmark;pvalues;utests;effectsize
5Parallel;Graal;avrora;0.009430400901824202;155.0;0.20918367346938777
DisableExplicitGC;Graal;avrora;0.004082315868979593;161.0;0.17857142857142858
ParallelCG;Graal;avrora;0.30121901003235063;121.0;0.3826530612244898
ParallelOldGC;Graal;avrora;0.19036203113302852;127.0;0.3520408163265306
1Concurent;Graal;avrora;0.013963504288693111;152.0;0.22448979591836735
5Concurent;Graal;avrora;0.16109322449890184;129.0;0.34183673469387754
G1;Graal;avrora;0.12374393858320548;132.0;0.32653061224489793
1Parallel;Graal;avrora;0.00543865843998807;159.0;0.18877551020408162
5Parallel;Graal;h2;0.11292204477606517;63.0;0.6785714285714286
DisableExplicitGC;Graal;h2;0.008242009906200234;40.0;0.7959183673469388
ParallelCG;Graal;h2;0.30121901003235063;75.0;0.6173469387755102
ParallelOldGC;Graal;h2;0.9450520886884962;96.0;0.5102040816326531
1Concurent;Graal;h2;0.22337087356959395;71.0;0.6377551020408163
5Concurent;Graal;h2;0.8722376297868121;94.0;0.5204081632653061
G1;Graal;h2;0.30121901003235063;75.0;0.6173469387755102
1Parallel;Graal;h2;7.4678435688707325e-06;0.0;1.0
5Parallel;Graal;lusearch;0.23820423879927;108.0;0.3609467455621302
DisableExplicitGC;Graal;lusearch;0.28151463251002273;106.0;0.3727810650887574
ParallelCG;Graal;lusearch;0.05132911710792309;123.0;0.27218934911242604
ParallelOldGC;Graal;lusearch;0.6080768794659228;95.0;0.4378698224852071
1Concurent;Graal;lusearch;0.7976340690559742;90.0;0.46745562130177515
5Concurent;Graal;lusearch;0.44175632742491955;100.0;0.40828402366863903
G1;Graal;lusearch;0.259233298673899;107.0;0.3668639053254438
1Parallel;Graal;lusearch;0.5383007490187228;97.0;0.4260355029585799
5Parallel;Graal;lusearch-fix;0.3298783320498747;65.0;0.6153846153846154
DisableExplicitGC;Graal;lusearch-fix;0.28151463251002273;63.0;0.6272189349112426
ParallelCG;Graal;lusearch-fix;0.9183089345454835;82.0;0.514792899408284
ParallelOldGC;Graal;lusearch-fix;0.6444123337698114;75.0;0.5562130177514792
1Concurent;Graal;lusearch-fix;0.9591007702858605;83.0;0.5088757396449705
5Concurent;Graal;lusearch-fix;0.6080768794659228;95.0;0.4378698224852071
G1;Graal;lusearch-fix;0.259233298673899;62.0;0.6331360946745562
1Parallel;Graal;lusearch-fix;0.3298783320498747;65.0;0.6153846153846154
5Parallel;Graal;pmd;0.6816178642730836;76.0;0.5502958579881657
DisableExplicitGC;Graal;pmd;0.1239358056727424;54.0;0.6804733727810651
ParallelCG;Graal;pmd;0.08123065302087974;50.0;0.7041420118343196
ParallelOldGC;Graal;pmd;0.28151463251002273;63.0;0.6272189349112426
1Concurent;Graal;pmd;0.035503890649411694;43.0;0.7455621301775148
5Concurent;Graal;pmd;0.28151463251002273;63.0;0.6272189349112426
G1;Graal;pmd;0.30506082202155305;64.0;0.621301775147929
1Parallel;Graal;pmd;1.6496665061862602e-05;0.0;1.0
5Parallel;Graal;sunflow;0.6816178642730836;76.0;0.5502958579881657
DisableExplicitGC;Graal;sunflow;0.027445099375459536;128.0;0.24260355029585798
ParallelCG;Graal;sunflow;0.01383425638570893;133.0;0.21301775147928995
ParallelOldGC;Graal;sunflow;0.01383425638570893;133.0;0.21301775147928995
1Concurent;Graal;sunflow;0.8374719604535413;89.0;0.47337278106508873
5Concurent;Graal;sunflow;0.28151463251002273;63.0;0.6272189349112426
G1;Graal;sunflow;0.4119238236601619;68.0;0.5976331360946746
1Parallel;Graal;sunflow;0.021016256227518675;130.0;0.23076923076923078
5Parallel;Graal;als;0.4033953048926283;8.0;0.68
DisableExplicitGC;Graal;als;1.0;12.0;0.52
ParallelCG;Graal;als;0.012185780355344813;0.0;1.0
ParallelOldGC;Graal;als;0.012185780355344813;0.0;1.0
1Concurent;Graal;als;0.5308693039685082;9.0;0.64
5Concurent;Graal;als;1.0;13.0;0.48
G1;Graal;als;0.6761033140231469;10.0;0.6
1Parallel;Graal;als;0.012185780355344813;0.0;1.0
5Parallel;Graal;dotty;0.6761033140231469;10.0;0.6
DisableExplicitGC;Graal;dotty;0.5308693039685082;16.0;0.36
ParallelCG;Graal;dotty;0.2962698714842864;18.0;0.28
ParallelOldGC;Graal;dotty;0.6761033140231469;15.0;0.4
1Concurent;Graal;dotty;0.8345316227109287;11.0;0.56
5Concurent;Graal;dotty;0.2962698714842864;18.0;0.28
G1;Graal;dotty;1.0;12.0;0.52
1Parallel;Graal;dotty;0.2962698714842864;7.0;0.72
5Parallel;Graal;fj-kmeans;0.2100750407866585;19.0;0.24
DisableExplicitGC;Graal;fj-kmeans;0.6761033140231469;15.0;0.4
ParallelCG;Graal;fj-kmeans;0.14367208180696023;20.0;0.2
ParallelOldGC;Graal;fj-kmeans;0.012185780355344813;25.0;0.0
1Concurent;Graal;fj-kmeans;0.0367138563627041;23.0;0.08
5Concurent;Graal;fj-kmeans;0.4033953048926283;17.0;0.32
G1;Graal;fj-kmeans;0.6761033140231469;15.0;0.4
1Parallel;Graal;fj-kmeans;0.06010280593886631;22.0;0.12
5Parallel;Graal;neo4j;1.0;12.0;0.52
DisableExplicitGC;Graal;neo4j;0.8345316227109287;14.0;0.44
ParallelCG;Graal;neo4j;0.03688842570704987;0.0;1.0
ParallelOldGC;Graal;neo4j;0.24156658696897282;0.0;1.0
1Concurent;Graal;neo4j;1.0;13.0;0.48
5Concurent;Graal;neo4j;0.6761033140231469;15.0;0.4
G1;Graal;neo4j;0.8345316227109287;14.0;0.44
1Parallel;Graal;neo4j;0.012185780355344813;0.0;1.0
5Parallel;Graal;philosopher;0.6761033140231469;15.0;0.4
DisableExplicitGC;Graal;philosopher;0.6761033140231469;10.0;0.6
ParallelCG;Graal;philosopher;1.0;13.0;0.48
ParallelOldGC;Graal;philosopher;0.4033953048926283;17.0;0.32
1Concurent;Graal;philosopher;0.2100750407866585;6.0;0.76
5Concurent;Graal;philosopher;0.5308693039685082;16.0;0.36
G1;Graal;philosopher;1.0;12.0;0.52
1Parallel;Graal;philosopher;1.0;12.0;0.52
5Parallel;Graal;reactors;0.2962698714842864;7.0;0.72
DisableExplicitGC;Graal;reactors;0.2962698714842864;7.0;0.72
ParallelCG;Graal;reactors;0.0367138563627041;23.0;0.08
ParallelOldGC;Graal;reactors;0.02157174794772092;24.0;0.04
1Concurent;Graal;reactors;1.0;12.0;0.52
5Concurent;Graal;reactors;0.14367208180696023;5.0;0.8
G1;Graal;reactors;0.4033953048926283;17.0;0.32
1Parallel;Graal;reactors;0.02157174794772092;1.0;0.96
5Parallel;Graal;scrabble;0.03038282197657749;0.0;1.0
DisableExplicitGC;Graal;scrabble;0.312321421676216;12.0;0.25
ParallelCG;Graal;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;Graal;scrabble;0.03038282197657749;0.0;1.0
1Concurent;Graal;scrabble;0.6650055421020291;6.0;0.625
5Concurent;Graal;scrabble;0.8852339144732015;8.0;0.5
G1;Graal;scrabble;0.11235119769046385;14.0;0.125
1Parallel;Graal;scrabble;0.03038282197657749;0.0;1.0
Optthruput;J9;avrora;0.44836913851604354;81.0;0.5867346938775511
