options;jvm;benchmark;pvalues;utests;effectsize
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;avrora;0.040568855795782656;12.0;0.8125
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;avrora;0.7928955031789606;29.0;0.546875
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;h2;0.005384940000147031;59.0;0.078125
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;h2;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;pmd;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;pmd;0.0009391056991171899;64.0;0.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;sunflow;0.22714668182201503;20.0;0.6875
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;sunflow;0.0019475275859466652;2.0;0.96875
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;als;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;als;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;dotty;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;dotty;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;neo4j;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;neo4j;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;reactors;0.007405533340500268;6.0;0.90625
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;reactors;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;scrabble;0.002165029333038379;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;scrabble;0.002165029333038379;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;fj-kmeans;0.010603345382122658;45.0;0.08163265306122448
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;avrora;0.713191261016072;28.0;0.5625
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;avrora;0.8748259769492438;34.0;0.46875
 -XcompilationThreads7;15.0.1.j9-adpt;avrora;0.3720293385704434;41.0;0.359375
 -XcompilationThreads3;15.0.1.j9-adpt;avrora;0.713191261016072;36.0;0.4375
 -Xjit:optlevel=warm;15.0.1.j9-adpt;avrora;0.713191261016072;36.0;0.4375
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;avrora;0.6365024869138661;27.0;0.578125
 -Xjit:optlevel=hot;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;avrora;0.713191261016072;36.0;0.4375
 -Xjit:count=1;15.0.1.j9-adpt;avrora;0.43089704373626736;24.0;0.625
 -Xjit:count=0;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;h2;0.12780760094754465;17.0;0.734375
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;h2;0.06608191591670358;14.0;0.78125
 -XcompilationThreads7;15.0.1.j9-adpt;h2;0.6365024869138661;27.0;0.578125
 -XcompilationThreads3;15.0.1.j9-adpt;h2;0.6365024869138661;27.0;0.578125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;h2;0.12780760094754465;17.0;0.734375
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;h2;0.002761604417827473;3.0;0.953125
 -Xjit:count=1;15.0.1.j9-adpt;h2;0.43089704373626736;24.0;0.625
 -Xjit:count=0;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;pmd;0.031324130877889995;53.0;0.171875
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;pmd;0.3720293385704434;41.0;0.359375
 -XcompilationThreads3;15.0.1.j9-adpt;pmd;0.00387604144899475;4.0;0.9375
