options;jvm;benchmark;pvalues;utests;effectsize
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;avrora;0.023948674879759435;10.0;0.84375
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;avrora;0.43089704373626736;40.0;0.375
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;h2;0.0009391056991171899;64.0;0.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;h2;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;pmd;0.018129007864971982;9.0;0.859375
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;pmd;0.3720293385704434;41.0;0.359375
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;sunflow;0.1562539580273633;18.0;0.71875
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;sunflow;0.005384940000147031;5.0;0.921875
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;als;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;als;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;dotty;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;dotty;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;neo4j;0.0009391056991171899;0.0;1.0
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;neo4j;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;reactors;0.007405533340500268;6.0;0.90625
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;reactors;0.0009391056991171899;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;scrabble;0.00493790547090731;2.0;0.9591836734693877
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;scrabble;0.002165029333038379;0.0;1.0
 -XX:-UseJVMCICompiler;20.2.0.r11-grl;fj-kmeans;1.0;24.0;0.5102040816326531
 -Dgraal.CompilerConfiguration=economy;20.2.0.r11-grl;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;avrora;0.8748259769492438;30.0;0.53125
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;avrora;0.8748259769492438;30.0;0.53125
 -XcompilationThreads7;15.0.1.j9-adpt;avrora;0.22714668182201503;44.0;0.3125
 -XcompilationThreads3;15.0.1.j9-adpt;avrora;0.8748259769492438;34.0;0.46875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;avrora;0.8748259769492438;30.0;0.53125
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;avrora;0.563523716477718;26.0;0.59375
 -Xjit:optlevel=hot;15.0.1.j9-adpt;avrora;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;avrora;0.6365024869138661;37.0;0.421875
 -Xjit:count=1;15.0.1.j9-adpt;avrora;0.8748259769492438;34.0;0.46875
 -Xjit:count=0;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;h2;0.7928955031789606;29.0;0.546875
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;h2;0.018129007864971982;9.0;0.859375
 -XcompilationThreads7;15.0.1.j9-adpt;h2;0.22714668182201503;20.0;0.6875
 -XcompilationThreads3;15.0.1.j9-adpt;h2;0.9581219265777428;32.0;0.5
 -Xjit:optlevel=warm;15.0.1.j9-adpt;h2;0.0019475275859466652;2.0;0.96875
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;h2;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;h2;0.031324130877889995;11.0;0.828125
 -Xjit:count=1;15.0.1.j9-adpt;h2;0.08312293695990333;15.0;0.765625
 -Xjit:count=0;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;pmd;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;pmd;0.7928955031789606;35.0;0.453125
 -XcompilationThreads3;15.0.1.j9-adpt;pmd;0.06608191591670358;14.0;0.78125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;pmd;0.007405533340500268;6.0;0.90625
 -Xjit:optlevel=hot;15.0.1.j9-adpt;pmd;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;pmd;0.01358727306399339;56.0;0.125
 -Xjit:count=1;15.0.1.j9-adpt;pmd;0.0013593755271592322;63.0;0.015625
 -Xjit:count=0;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;sunflow;0.00387604144899475;4.0;0.9375
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;sunflow;0.010081693883859663;7.0;0.890625
 -XcompilationThreads7;15.0.1.j9-adpt;sunflow;0.3720293385704434;41.0;0.359375
 -XcompilationThreads3;15.0.1.j9-adpt;sunflow;0.27014853272850603;43.0;0.328125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;sunflow;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;sunflow;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;sunflow;0.7928955031789606;35.0;0.453125
 -Xjit:count=10;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;sunflow;0.31842506670681614;22.0;0.65625
 -Xjit:count=0;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;als;0.10356187117653398;48.0;0.25
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;als;0.023948674879759435;10.0;0.84375
 -XcompilationThreads3;15.0.1.j9-adpt;als;0.08312293695990333;15.0;0.765625
 -Xjit:optlevel=warm;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;als;0.27014853272850603;43.0;0.328125
 -Xjit:count=1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;dotty;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;dotty;0.8748259769492438;34.0;0.46875
 -XcompilationThreads3;15.0.1.j9-adpt;dotty;0.05202961762222518;13.0;0.796875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
