benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
avrora;Graal;default;1;76132216.69399999;4126140000.000001;991470000.0;0
avrora;Graal;G1;1;75498684.551;4073370000.0;982820000.0;0
avrora;Graal;5Parallel;1;67961383.428;3359840000.0;882410000.0;0
avrora;Graal;5Concurent;1;76956064.407;4213360000.0;1003810000.0;0
avrora;Graal;1Parallel;1;77951206.689;4268510000.0;1014620000.0;0
avrora;Graal;1Concurent;1;73682817.67;3839710000.0;956600000.0;0
avrora;Graal;DisableExplicitGC;1;73999316.26599999;3855280000.0;960970000.0;0
avrora;Graal;ParallelCG;1;75292680.788;4004730000.0;977990000.0;0
avrora;Graal;ParallelOldGC;1;75197199.213;4014740000.0;979930000.0;0
avrora;J9;default;1;34385492.34100001;2245000000.0;460510000.0;0
avrora;J9;ConcurrentScavenge;1;34755086.509;2280170000.0;468620000.0;0
avrora;J9;ScvNoAdaptiveTenure;1;34945328.299;2291650000.0;469320000.0;0
avrora;J9;Balanced;1;33739292.442;2176620000.0;450830000.0;0
avrora;J9;Gencon;1;35231988.239;2315080000.0;474030000.0;0
avrora;J9;Metronome;1;33048761.863;2146790000.0;442750000.0;0
avrora;J9;Nogc;1;34478791.601;2268380000.0;463570000.0;0
avrora;J9;Optavgpause;1;33645579.991;2171330000.0;451580000.0;0
avrora;J9;Optthruput;1;34545660.184;2262790000.0;466340000.0;0
avrora;OPEN;default;1;76703276.657;4226800000.0;1001920000.0;0
avrora;OPEN;G1;1;74776985.982;4114480000.0;977010000.0;0
avrora;OPEN;5Parallel;1;77168201.418;4235190000.0;1006130000.0;0
avrora;OPEN;5Concurent;1;75191447.55499999;4078640000.0;979330000.0;0
avrora;OPEN;1Parallel;1;75971616.61;4172340000.0;991860000.0;0
avrora;OPEN;1Concurent;1;75760695.12099999;4162780000.0;990890000.0;0
avrora;OPEN;DisableExplicitGC;1;75852188.559;4167570000.0;990090000.0;0
avrora;OPEN;ParallelCG;1;76329785.587;4184410000.0;994860000.0;0
avrora;OPEN;ParallelOldGC;1;74163087.119;3973810000.0;970250000.0;0
avrora;OPEN;SerialGC;1;77287591.14;4239350000.000001;1005810000.0;0
avrora;OPEN;Epsilon;1;61123610.383;3130780000.0;792930000.0;0
h2;Graal;default;1;38266874.367;1908360000.0;515430000.0;0
h2;Graal;G1;1;40661928.739;1998260000.0;549790000.0;0
h2;Graal;5Parallel;1;40691738.283;2017890000.0;547740000.0;0
h2;Graal;5Concurent;1;38970489.255;1926370000.0;523880000.0;0
h2;Graal;1Parallel;1;41360388.09;2007260000.0;553550000.0;0
h2;Graal;1Concurent;1;37844668.823;1848470000.0;503690000.0;0
h2;Graal;DisableExplicitGC;1;40436576.416;2064530000.0;544910000.0;0
h2;Graal;ParallelCG;1;37771193.605;1937080000.0;506180000.0;0
h2;Graal;ParallelOldGC;1;37809435.681;1894290000.0;505600000.0;0
h2;J9;default;1;38011471.283;2005410000.0;505940000.0;0
h2;J9;ConcurrentScavenge;1;45801313.45;2295450000.0;607400000.0;0
h2;J9;ScvNoAdaptiveTenure;1;44405993.947;2447450000.0;602240000.0;0
h2;J9;Balanced;1;44528301.078;2238620000.0;589820000.0;0
h2;J9;Gencon;1;39967242.225;2067520000.0;536170000.0;0
h2;J9;Metronome;1;55063492.851;2736240000.0;729090000.0;0
h2;J9;Nogc;1;43473115.846999995;2202720000.0;572920000.0;0
h2;J9;Optavgpause;1;44393100.456;2278530000.0;589320000.0;0
h2;J9;Optthruput;1;44730606.224;2189310000.0;593110000.0;0
h2;OPEN;default;1;33524229.131;1678660000.0;443810000.0;0
h2;OPEN;G1;1;32623354.655;1629900000.0;434090000.0;0
h2;OPEN;5Parallel;1;33673692.599;1666930000.0;443980000.0;0
h2;OPEN;5Concurent;1;33355316.399000004;1635900000.0;442720000.0;0
h2;OPEN;1Parallel;1;37985984.921;2007390000.0;510620000.0;0
h2;OPEN;1Concurent;1;35420127.53600001;1768950000.0;472790000.0;0
h2;OPEN;DisableExplicitGC;1;34257440.208000004;1696700000.0;454220000.0;0
h2;OPEN;ParallelCG;1;35000649.809;1766830000.0;470780000.0;0
h2;OPEN;ParallelOldGC;1;32823465.18;1629620000.0;438220000.0;0
h2;OPEN;SerialGC;1;34046967.827;1594060000.0;449170000.0;0
h2;OPEN;Epsilon;1;14265107.590999998;731140000.0;188360000.0;0
lusearch;Graal;default;1;3276966.002;191310000.0;46020000.0;0
lusearch;Graal;G1;1;3004728.423;190700000.0;46050000.0;0
lusearch;Graal;5Parallel;1;3067659.6360000004;188130000.0;45870000.0;0
lusearch;Graal;5Concurent;1;3087686.667;192390000.0;46730000.0;0
lusearch;Graal;1Parallel;1;3086067.309000001;198660000.0;48470000.0;0
lusearch;Graal;1Concurent;1;3019751.518;185760000.0;44950000.0;0
lusearch;Graal;DisableExplicitGC;1;3195986.0500000007;191490000.0;43550000.0;0
lusearch;Graal;ParallelCG;1;3076485.6960000005;183350000.0;42300000.0;0
lusearch;Graal;ParallelOldGC;1;2978109.687;178060000.0;43590000.0;0
lusearch;J9;default;1;3423142.2369999997;195500000.0;41510000.0;0
lusearch;J9;ConcurrentScavenge;1;3470008.555;212540000.0;44690000.0;0
lusearch;J9;ScvNoAdaptiveTenure;1;3319470.65;194650000.0;41340000.0;0
lusearch;J9;Balanced;1;4185307.028;258150000.0;53510000.0;0
lusearch;J9;Gencon;1;3150330.586;188850000.0;39290000.0;0
lusearch;J9;Metronome;1;3880327.382;237870000.0;50700000.0;0
lusearch;J9;Nogc;1;3668308.171;215410000.0;45130000.0;0
lusearch;J9;Optavgpause;1;3910190.986;223070000.0;50000000.0;0
lusearch;J9;Optthruput;1;3600240.0960000004;228800000.0;47680000.0;0
lusearch;OPEN;default;1;3395541.0539999995;231360000.0;54680000.0;0
lusearch;OPEN;G1;1;3344788.668;223340000.0;52040000.0;0
lusearch;OPEN;5Parallel;1;3372324.663;214030000.0;48950000.0;0
lusearch;OPEN;5Concurent;1;3438317.717;246400000.0;58090000.0;0
lusearch;OPEN;1Parallel;1;3546163.275;240700000.0;55580000.0;0
lusearch;OPEN;1Concurent;1;3629627.163;251940000.0;58520000.0;0
lusearch;OPEN;DisableExplicitGC;1;3049323.999;194010000.0;45110000.0;0
lusearch;OPEN;ParallelCG;1;3568230.5840000007;222080000.0;50470000.0;0
lusearch;OPEN;ParallelOldGC;1;3275433.132;227360000.0;51780000.0;0
lusearch;OPEN;SerialGC;1;3599599.4039999996;250180000.0;57030000.0;0
lusearch;OPEN;Epsilon;1;3869090.111;248960000.0;57950000.0;0
lusearch-fix;Graal;default;1;3242790.752;199220000.0;47460000.0;0
lusearch-fix;Graal;G1;1;3401432.924;201110000.0;49350000.0;0
lusearch-fix;Graal;5Parallel;1;3171028.596000001;192400000.0;46770000.0;0
lusearch-fix;Graal;5Concurent;1;3000177.3690000004;175440000.0;42660000.0;0
lusearch-fix;Graal;1Parallel;1;3271603.5919999997;205340000.0;48920000.0;0
lusearch-fix;Graal;1Concurent;1;3092766.111;192890000.0;46140000.0;0
lusearch-fix;Graal;DisableExplicitGC;1;3308899.599;200120000.0;48570000.0;0
lusearch-fix;Graal;ParallelCG;1;3036249.044;187570000.0;45090000.0;0
lusearch-fix;Graal;ParallelOldGC;1;3142597.6750000007;191030000.0;46230000.0;0
lusearch-fix;J9;default;1;3522039.954;205550000.0;43270000.0;0
lusearch-fix;J9;ConcurrentScavenge;1;3402624.738;213070000.0;45120000.0;0
lusearch-fix;J9;ScvNoAdaptiveTenure;1;3927501.902;221580000.0;46920000.0;0
lusearch-fix;J9;Balanced;1;4324364.852999999;267610000.0;55620000.0;0
lusearch-fix;J9;Gencon;1;3423516.5160000003;201460000.0;42250000.0;0
lusearch-fix;J9;Metronome;1;3702770.0689999997;226230000.0;47550000.0;0
lusearch-fix;J9;Nogc;1;3425846.963;204270000.0;42260000.0;0
