benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
avrora;20.2.0.r11-grl;default;1;0;73286259;972745740;3983679377
avrora;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;73364520;973633540;4014186441
avrora;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;68721700;913910724;3753649266
avrora;15.0.1.j9-adpt;default;1;0;30360957;414611854;2004765376
avrora;15.0.1.j9-adpt; -XcompilationThreads1;1;0;31061145;425683685;2055839769
avrora;15.0.1.j9-adpt; -XcompilationThreads3;1;0;31122426;424556227;2050795653
avrora;15.0.1.j9-adpt; -XcompilationThreads7;1;0;30658225;420779530;2025668093
avrora;15.0.1.j9-adpt; -Xjit:count=0;1;0;39695149;537925510;2460834582
avrora;15.0.1.j9-adpt; -Xjit:count=1;1;0;31572152;438357562;2125868337
avrora;15.0.1.j9-adpt; -Xjit:count=10;1;0;31151367;429501401;2096136603
avrora;15.0.1.j9-adpt; -Xjit:count=100;1;0;30801715;422396340;2047724251
avrora;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;32109865;439679161;2139978957
avrora;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;32412073;442529152;2161757405
avrora;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;34490065;472075686;2317798021
avrora;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;44040030;599271012;3104301744
avrora;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;49698334;679970496;3528949645
avrora;15.0.1-open;default;1;0;73087388;971425105;4070676042
avrora;15.0.1-open; -XX:-TieredCompilation;1;0;72077125;955377151;3994640653
avrora;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;69247833;920045916;3850879973
avrora;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;71366796;948484317;3951243242
avrora;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;73582924;978601923;4075175542
h2;20.2.0.r11-grl;default;1;0;39584434;541335910;1950076612
h2;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;34800144;468318281;1742187007
h2;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;53931743;726643022;2497775527
