benchmark;jvm;options;iteration;duration;CPU;DRAM
avrora;15.0.1.j9-adpt;default;1;34023061.263000004;2308970000.0;457110000.0
avrora;15.0.1.hs-adpt;default;1;75062774.82100001;4240630000.0;982630000.0
avrora;14.0.2.j9-adpt;default;1;34090175.599;2331400000.0;458470000.0
avrora;14.0.2.hs-adpt;default;1;74966232.966;4247510000.0;979570000.0
avrora;13.0.2.j9-adpt;default;1;35395457.703;2428100000.0;477630000.0
avrora;13.0.2.hs-adpt;default;1;76099930.92099999;4346160000.0;996170000.0
avrora;12.0.2.j9-adpt;default;1;34369050.100999996;2339830000.0;465630000.0
avrora;12.0.2.hs-adpt;default;1;75847418.20799999;4354310000.0;991650000.0
avrora;11.0.9.j9-adpt;default;1;33762875.296;2284780000.0;452620000.0
avrora;11.0.9.hs-adpt;default;1;73381058.303;4074650000.0;959360000.0
avrora;8.0.275.j9-adpt;default;1;33583096.342;2304670000.0;452950000.0
avrora;8.0.275.hs-adpt;default;1;78428205.802;4506110000.0;1027700000.0
avrora;11.0.8-albba;default;1;75709178.404;4356730000.0;991950000.0
avrora;8u272-albba;default;1;76017703.142;4285680000.0000005;995260000.0
avrora;15.0.1-amzn;default;1;75887124.11500001;4328100000.0;995880000.0
avrora;11.0.9-amzn;default;1;74103442.507;4222270000.0000005;972000000.0
avrora;8.0.275-amzn;default;1;75688368.875;4259850000.0000005;992190000.0
avrora;15.0.1-zulu;default;1;76291097.939;4394500000.0;1001430000.0
avrora;14.0.2-zulu;default;1;75954978.97600001;4355680000.0;995030000.0
avrora;13.0.5-zulu;default;1;75466323.224;4306160000.0;988320000.0
avrora;12.0.2-zulu;default;1;74118836.762;4097090000.0;970130000.0
avrora;11.0.9-zulu;default;1;75998168.922;4363200000.0;994960000.0
avrora;10.0.2-zulu;default;1;74307571.266;4242939999.9999995;974080000.0
avrora;9.0.7-zulu;default;1;71053163.894;3719100000.0;928210000.0
avrora;8.0.272-zulu;default;1;77458543.322;4439390000.0;1016810000.0
avrora;15.0.1-librca;default;1;76875610.24;4420380000.0;1008980000.0
avrora;14.0.2-librca;default;1;74999496.64099999;4291010000.0;983450000.0
avrora;13.0.2-librca;default;1;73512954.249;4160000000.0;963520000.0
avrora;12.0.2-librca;default;1;72369278.857;3891240000.0;946980000.0
avrora;11.0.9-librca;default;1;76161437.753;4386570000.0;998750000.0
avrora;8.0.275-librca;default;1;61868940.328;3132300000.0;805770000.0
avrora;20.2.0.r11-grl;default;1;76773914.728;4404160000.0;1008180000.0
avrora;20.2.0.r8-grl;default;1;77766731.573;4464690000.0;1022260000.0
avrora;19.3.4.r11-grl;default;1;72920497.945;3897370000.0;955470000.0
avrora;19.3.4.r8-grl;default;1;63981543.225;3221570000.0;832600000.0
avrora;15.0.1-open;default;1;75857748.712;4321200000.0;996250000.0
avrora;14.0.2-open;default;1;74884557.6;4286090000.0;981580000.0
avrora;13.0.2-open;default;1;74809841.19999999;4257420000.0;978060000.0
avrora;12.0.2-open;default;1;73642382.525;4190370000.0;964480000.0
avrora;11.0.2-open;default;1;76861584.697;4401280000.0;1004970000.0
avrora;10.0.2-open;default;1;69956818.894;3857500000.0;913970000.0
avrora;9.0.4-open;default;1;73810517.406;4230830000.0;967480000.0
avrora;8.0.265-open;default;1;76708037.78299999;4349760000.0;1005580000.0
avrora;20.2.0.0-mandrel;default;1;76166627.117;4375340000.0;997350000.0
avrora;15.0.1-sapmchn;default;1;75343080.376;4306490000.0;985880000.0
avrora;14.0.2-sapmchn;default;1;76040256.61500001;4381580000.0;996050000.0
avrora;13.0.2-sapmchn;default;1;76917014.21499999;4422430000.0;1006960000.0
avrora;12.0.2-sapmchn;default;1;76009574.968;4371870000.0;995470000.0
avrora;11.0.9-sapmchn;default;1;74312519.315;4180779999.9999995;974080000.0
avrora;11.0.9-trava;default;1;76040764.812;4357340000.0;996220000.0
avrora;8.0.232-trava;default;1;75754542.25299999;4350940000.0;994270000.0
h2;15.0.1.j9-adpt;default;1;47387227.760000005;2641260000.0;641990000.0
h2;15.0.1.hs-adpt;default;1;31862176.963;1687570000.0;425210000.0
h2;14.0.2.j9-adpt;default;1;46843238.695;2598450000.0;635550000.0
h2;14.0.2.hs-adpt;default;1;32202215.433;1757430000.0;436140000.0
h2;13.0.2.j9-adpt;default;1;46005888.276;2448410000.0;616260000.0
h2;13.0.2.hs-adpt;default;1;32761594.186000004;1807780000.0;443940000.0
h2;12.0.2.j9-adpt;default;1;49379964.41500001;2799150000.0;664590000.0
h2;12.0.2.hs-adpt;default;1;35749405.904;1865210000.0;475790000.0
h2;11.0.9.j9-adpt;default;1;46623559.771;2581790000.0;629780000.0
h2;11.0.9.hs-adpt;default;1;34424865.934;1852790000.0;458360000.0
h2;8.0.275.j9-adpt;default;1;45709557.654;2458420000.0;616100000.0
h2;8.0.275.hs-adpt;default;1;39961423.181;2088670000.0;531250000.0
h2;11.0.8-albba;default;1;35508617.165;1888420000.0;472800000.0
h2;8u272-albba;default;1;39075987.911;2044050000.0;525230000.0
h2;15.0.1-amzn;default;1;32141628.001999997;1688710000.0;425740000.0
h2;11.0.9-amzn;default;1;35361790.162;1850940000.0;470410000.0
h2;8.0.275-amzn;default;1;42036560.555999994;2183710000.0;562670000.0
h2;15.0.1-zulu;default;1;36335396.535000004;1955790000.0;483490000.0
h2;14.0.2-zulu;default;1;34444758.618999995;1797610000.0;458190000.0
h2;13.0.5-zulu;default;1;34752381.587000005;1794610000.0;462620000.0
h2;12.0.2-zulu;default;1;35289096.383999996;1849910000.0;467970000.0
h2;11.0.9-zulu;default;1;35677243.25399999;1883750000.0;473940000.0
h2;10.0.2-zulu;default;1;33940280.850999996;1865080000.0;456320000.0
h2;9.0.7-zulu;default;1;35854910.541999996;1948420000.0;483570000.0
h2;8.0.272-zulu;default;1;38094667.554;2022090000.0;510010000.0
h2;15.0.1-librca;default;1;35970522.218;1883100000.0;477130000.0
h2;14.0.2-librca;default;1;32094895.255;1673460000.0;428300000.0
h2;13.0.2-librca;default;1;35420771.176;1871310000.0;472830000.0
h2;12.0.2-librca;default;1;32023787.843999997;1708870000.0;423210000.0
h2;11.0.9-librca;default;1;34753320.465;1839690000.0;461350000.0
h2;8.0.275-librca;default;1;37016714.632;1959140000.0;495130000.0
h2;20.2.0.r11-grl;default;1;40517668.918;2170860000.0;550880000.0
h2;20.2.0.r8-grl;default;1;41883789.251;2195650000.0;563770000.0
h2;19.3.4.r11-grl;default;1;43010197.871;2373270000.0;584010000.0
h2;19.3.4.r8-grl;default;1;40167896.608;2110110000.0000002;538610000.0
h2;15.0.1-open;default;1;31978300.969;1658060000.0;424260000.0
h2;14.0.2-open;default;1;35215137.644999996;1872500000.0;470980000.0
h2;13.0.2-open;default;1;34434545.43;1843970000.0;458220000.0
h2;12.0.2-open;default;1;31529312.519;1676150000.0;420190000.0
h2;11.0.2-open;default;1;34939405.819;1879580000.0;466580000.0
h2;10.0.2-open;default;1;37294370.776;1977760000.0;499560000.0
h2;9.0.4-open;default;1;35189417.525000006;1865710000.0;473790000.0
h2;8.0.265-open;default;1;40355618.32;2093340000.0000002;540910000.0
h2;20.2.0.0-mandrel;default;1;36055606.378;1908480000.0;480800000.0
h2;15.0.1-sapmchn;default;1;33611439.169999994;1763260000.0;450940000.0
h2;14.0.2-sapmchn;default;1;32655245.880999997;1680540000.0;437780000.0
h2;13.0.2-sapmchn;default;1;32951834.176;1826660000.0;446680000.0
h2;12.0.2-sapmchn;default;1;34873309.247;1866270000.0;466070000.0
h2;11.0.9-sapmchn;default;1;33735839.908;1793420000.0;449430000.0
h2;11.0.9-trava;default;1;33272537.708;1760090000.0;444250000.0
h2;8.0.232-trava;default;1;38242743.701000005;1949770000.0;511920000.0
lusearch;15.0.1.j9-adpt;default;1;3646137.276;217040000.0;44490000.0
lusearch;15.0.1.hs-adpt;default;1;3773007.661;281280000.0;62390000.0
lusearch;14.0.2.j9-adpt;default;1;3529286.352;230420000.0;46680000.0
lusearch;14.0.2.hs-adpt;default;1;3378323.205;239240000.0;54190000.0
lusearch;13.0.2.j9-adpt;default;1;3640123.435;229920000.0;45830000.0
lusearch;13.0.2.hs-adpt;default;1;3505791.168;248440000.0;56050000.0
lusearch;12.0.2.j9-adpt;default;1;3227034.744;192880000.0;39900000.0
lusearch;12.0.2.hs-adpt;default;1;3441335.545;243260000.0;54590000.0
lusearch;11.0.9.j9-adpt;default;1;3907160.269;236140000.0;47950000.0
lusearch;11.0.9.hs-adpt;default;1;3424868.031;236540000.0;53780000.0
lusearch;8.0.275.j9-adpt;default;1;3377943.23;213520000.0;41910000.0
lusearch;8.0.275.hs-adpt;default;1;3911705.219;281830000.0;61300000.0
lusearch;11.0.8-albba;default;1;3634565.631;257250000.0;57450000.0
lusearch;8u272-albba;default;1;3678307.426;255530000.0;57110000.0
lusearch;15.0.1-amzn;default;1;3521976.447;232390000.0;52690000.0
lusearch;11.0.9-amzn;default;1;3330716.504;224630000.0;50360000.0
lusearch;8.0.275-amzn;default;1;3960891.9560000002;289370000.0;64060000.0
lusearch;15.0.1-zulu;default;1;3346650.818;238900000.0;54730000.0
lusearch;14.0.2-zulu;default;1;3785452.7199999997;258209999.99999997;57620000.0
lusearch;13.0.5-zulu;default;1;3829799.945;273890000.0;59980000.0
lusearch;12.0.2-zulu;default;1;3483053.654;245790000.0;54470000.0
lusearch;11.0.9-zulu;default;1;3269097.681;228690000.0;51750000.0
lusearch;10.0.2-zulu;default;1;3441286.239;246310000.0;54780000.0
lusearch;9.0.7-zulu;default;1;3844425.599;266709999.99999997;60300000.0
lusearch;8.0.272-zulu;default;1;3509880.133;246000000.0;53660000.0
lusearch;15.0.1-librca;default;1;3543558.561;252450000.0;55130000.0
lusearch;14.0.2-librca;default;1;3400855.633;238560000.0;50830000.0
lusearch;13.0.2-librca;default;1;3212979.8279999997;213900000.0;45850000.0
lusearch;12.0.2-librca;default;1;3565227.3129999996;237000000.0;53170000.0
lusearch;11.0.9-librca;default;1;3277986.849;222940000.0;48530000.0
lusearch;8.0.275-librca;default;1;3378360.819;240220000.0;52870000.0
lusearch;20.2.0.r11-grl;default;1;3151037.81;199710000.0;46760000.0
lusearch;20.2.0.r8-grl;default;1;3156645.765;203460000.0;47210000.0
lusearch;19.3.4.r11-grl;default;1;3188985.84;217820000.0;51420000.0
lusearch;19.3.4.r8-grl;default;1;3052739.958;201840000.0;46890000.0
lusearch;15.0.1-open;default;1;3263372.721;224670000.0;50280000.0
lusearch;14.0.2-open;default;1;3790911.4869999997;281080000.0;61460000.0
lusearch;13.0.2-open;default;1;3427755.5130000003;235300000.0;52310000.0
lusearch;12.0.2-open;default;1;3297450.5289999996;228540000.0;51220000.0
lusearch;11.0.2-open;default;1;3688255.89;268710000.0;59010000.0
lusearch;10.0.2-open;default;1;3431913.16;243550000.0;54480000.0
lusearch;9.0.4-open;default;1;3448917.855;241600000.0;53910000.0
lusearch;8.0.265-open;default;1;3859436.642;267790000.00000003;59430000.0
lusearch;20.2.0.0-mandrel;default;1;3520062.79;239330000.0;50030000.0
lusearch;15.0.1-sapmchn;default;1;3340245.968;242600000.0;53600000.0
lusearch;14.0.2-sapmchn;default;1;3726572.718;272100000.0;60150000.0
lusearch;13.0.2-sapmchn;default;1;3494445.366;254530000.0;56170000.0
lusearch;12.0.2-sapmchn;default;1;3073676.163;200010000.0;43330000.0
lusearch;11.0.9-sapmchn;default;1;3801661.764;257850000.00000003;56570000.0
lusearch;11.0.9-trava;default;1;3528481.4220000003;261680000.0;59500000.0
lusearch;8.0.232-trava;default;1;3489819.069;230410000.0;51880000.0
pmd;15.0.1.j9-adpt;default;1;4370694.091;257540000.00000003;55750000.0
pmd;15.0.1.hs-adpt;default;1;4629327.3040000005;325900000.0;70980000.0
pmd;14.0.2.j9-adpt;default;1;4569704.772;277800000.0;59090000.0
pmd;14.0.2.hs-adpt;default;1;4977405.478999999;345060000.0;76540000.0
pmd;13.0.2.j9-adpt;default;1;4573890.607;276740000.0;58080000.0
pmd;13.0.2.hs-adpt;default;1;5151027.062;362800000.0;79840000.0
pmd;12.0.2.j9-adpt;default;1;4790850.892;276050000.0;60480000.0
pmd;12.0.2.hs-adpt;default;1;5278633.135;366020000.0;80310000.0
pmd;11.0.9.j9-adpt;default;1;4456047.893;267390000.0;57490000.0
pmd;11.0.9.hs-adpt;default;1;5082087.602;355160000.0;78670000.0
pmd;8.0.275.j9-adpt;default;1;4466839.891;276320000.0;56970000.0
pmd;8.0.275.hs-adpt;default;1;5036961.215;339060000.0;73850000.0
pmd;11.0.8-albba;default;1;5154081.356;354610000.0;77250000.0
